Country Name,Country Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,163,163,160,162,162,145,159,151,163,153,166,138,145,152,150,150,149,149,163,160,165
Africa Eastern and Southern,AFE,3052185.56,3126949.83,3251455.25,3464828.25,3385078.5,3100960.5,3275065.5,3110939.5,3043669,3286239,3293173.84,3602412.66,3406118.9,3616343.64,3782284.87,3891420.61,3959549.26,3954845.14,3988983.26,3943312.27,4122458.3
Afghanistan,AFG,800,900,900,1000,1000,1000,1000,1000,1000,1000,1150,1300,1450,1600,1750,1900,2000,2050,2100,2000,1500
Africa Western and Central,AFW,2290269,2231496,2433204,2501040.4,2545151.89,2395130.99,2394272.01,2538719.14,2617164,2736354.64,2985575.9,3112163.08,3172832.06,3221888.31,3158670.73,3473916.84,4126379.87,4217563.35,4015606.46,3873103.47,4163673.25
Angola,AGO,254553,255443,212033,240002,202616,225741,306436,305860,272042,310000,342000,374000,407000,442084,495232,486490,531575,443066,399762,375345,528964
Albania,ALB,3311.2,3656.8,2801.6,4549.5,5000,5652.3,5413.4,5365,5811,5132.2,4805.2,8605.2,8973.09,8705.05,7855.1,7862.09,8563.2,8648.3,8711.5,7627.16,9641.5
Arab World,ARB,2569228.49,2466894.47,2512945.22,2590634.07,2676910.11,2478328.44,2480108.32,2491842.38,2760764.61,2736859.91,2609496.44,2977611.22,3044434.77,3074442.91,3086266.32,3393613.32,3591746.94,3957553.46,3873304.95,3930914.89,4314308.72
United Arab Emirates,ARE,112561,97574,95150,90000,86735,100403,96453,74075,77705,70590,66611,69166,63378,64912,63262,63221,64749,63819,62633,58949,61189
Argentina,ARG,931081,946185,910200,944846,929937,1171980,985409,995083,861974,811749,793308,738060,870705,829935,814300,755226,835061,835387,826095,837589.49,852565.8
Armenia,ARM,866,465,569,218,250,350,1065,601,619,617,795,861,4099,4795,8140,3758,364,369,710,750.01,770
American Samoa,ASM,3667,6939,5089,4041,4019,5349,6519,4424,4944,5122.78,3587.12,4371.96,2841.43,2426.77,4357.95,2252.27,2317.88,2028.42,1434.78,871.17,1058.72
Antigua and Barbuda,ATG,1797,2343,2541,2473,2948,3044,3042,3389,2416,2219,3055,5951,4605,3114,3165,3165,3165,3165,3165,3115,3205
Australia,AUS,205227,207516,224550.23,243559.05,250986.28,212900,190499.31,183642.7,179100.49,181106.4,177034.68,167631.31,160248.53,150778.96,151861.12,172901.49,164975.92,171467.13,166483.64,176602.57,171026.48
Austria,AUT,362,350,372,400,370,360,350,350,350,350,350,300,350,350,350,350,350,350,350,350,350
Azerbaijan,AZE,10893,11188,6435,9258,9001,4061,2949,1524,1206,1131,1061,911,857,929,626.2,739,965,1614,1177,2089,1464
Burundi,BDI,8964,11000,14697,13855,13400,12978,11309,18265,12615,17305,10654,12309,13232,16054,20120,21805,18999,20310,20372,19589,19550
Belgium,BEL,30209,29028,26831,26735,24567,23019,24541,22609,21722,22418,22477,24659,25662,26793,24721,26970,24649,23005,21350,19953.8,17937
Benin,BEN,38415,40663,41648,39988,31497,41507,36386,37495,38928,39791,38848,40364,42416,47583,36477,49806,48203,54959,73484.9,73965,74615
Burkina Faso,BFA,8500,8500,9000,9000,9000,9500,10200,11093,11800,14520,16060,20300,20500,20700,20750,21770,25208,27299,27803,29104,29731
